#{"t_start": 1755854826.2525046, "env_id": "None"}
r,l,t
343.455468,5,3.606011
343.426233,5,3.613011
-5656.57589,5,3.619011
-5539.855902,3,3.623011
343.427448,5,3.629011
-5656.580596,5,3.63501
-5116.726776,3,3.639011
343.433256,5,3.646011
9901.411355,3,3.650134
9901.411841,3,3.655138
343.42778,5,3.665145
-20557.980043,3,3.669144
920.153676,3,3.673144
343.439815,5,3.680633
374.286652,4,3.686633
9411.153922,4,3.693269
-5557.99313,3,3.698266
-5539.858445,3,3.702274
374.287456,4,3.707274
343.441451,5,3.714052
343.458934,5,3.720049
-5656.578772,5,3.727049
9343.425242,5,3.733051
883.323514,3,3.737049
-5539.856771,3,3.740049
-5625.718711,4,3.745481
9901.411735,3,3.749481
343.432901,5,3.755481
343.442927,5,3.763052
374.285629,4,3.769056
-5147.574774,4,3.777056
-20656.570896,5,3.783565
-5079.854527,3,3.787828
-20656.556382,5,3.79647
-5625.723772,4,3.802469
883.278279,3,3.80747
-5656.576121,5,3.813684
9852.421974,4,3.819683
-20656.549771,5,3.825683
-5607.582491,4,3.830683
-5116.724765,3,3.834683
343.448387,5,3.840683
343.428705,5,3.847683
-5656.579517,5,3.853855
-5625.722268,4,3.858977
-5576.716238,3,3.862977
9442.004839,3,3.866981
-5625.719084,4,3.871981
-5557.997993,3,3.875382
343.436088,5,3.884361
-5656.582287,5,3.891495
374.295488,4,3.896492
-5098.587142,3,3.900492
-5539.854011,3,3.904491
343.511565,5,3.911492
9411.155078,4,3.916492
460.162577,3,3.920491
-5098.587734,3,3.924491
-20147.561908,4,3.93058
-5656.570628,5,3.93858
-5098.586682,3,3.94358
-5607.579497,4,3.949585
-20656.549318,5,3.957587
-5625.72113,4,3.962581
-20625.709604,4,3.967584
-5557.99172,3,3.971584
343.435891,5,3.978265
-5588.847093,4,3.983268
9343.431128,5,3.989269
9392.415526,4,3.997268
374.287586,4,4.002268
-5098.584016,3,4.006269
343.488355,5,4.01346
-20656.571592,5,4.021459
-5098.587556,3,4.024695
-5539.853305,3,4.029692
9852.42106,4,4.034691
9852.420708,4,4.040694
-5607.581618,4,4.04769
374.288951,4,4.053692
392.42374,4,4.05969
374.29433,4,4.065692
374.303853,4,4.071694
-5098.585645,3,4.075694
-5147.577471,4,4.081203
-5656.574345,5,4.087202
-5576.722742,3,4.091201
-5576.725023,3,4.094201
-5116.72128,3,4.098202
343.436918,5,4.107201
-5607.583342,4,4.112201
-5147.577046,4,4.118203
-5079.853971,3,4.122203
-5147.58076,4,4.127721
-5656.574511,5,4.134335
-5539.857826,3,4.137347
343.441071,5,4.14441
-5588.850358,4,4.149444
9460.143761,3,4.153444
374.281379,4,4.158447
343.429688,5,4.164585
-5098.588501,3,4.168585
-20147.573861,4,4.173585
411.153792,4,4.179257
-5079.85354,3,4.183254
-5625.722285,4,6.36621
-20656.565871,5,6.379211
-5079.856117,3,6.383723
343.436525,5,6.390723
-5557.993601,3,6.394724
-5539.845362,3,6.397724
-5079.84892,3,6.401724
392.422005,4,6.406724
852.438552,4,6.416322
-5656.567085,5,6.423322
-5079.856872,3,6.429469
9343.426866,5,6.437472
343.441449,5,6.444484
-5607.581069,4,6.449484
343.434375,5,6.455591
343.43728,5,6.462747
-5576.726288,3,6.466757
343.430501,5,6.472894
374.28722,4,6.478309
-5079.852346,3,6.482831
-5539.858092,3,6.485831
-5656.578233,5,6.49324
-5656.577082,5,6.49924
-5116.722889,3,6.504237
-5625.720397,4,6.510233
9852.416139,4,6.515233
852.430067,4,6.523234
9343.42377,5,6.529621
-5588.849094,4,6.53462
9392.415482,4,6.54162
9883.273323,3,6.54562
-5588.84845,4,6.55162
-5625.716438,4,6.55662
-5588.849875,4,6.56162
343.436782,5,6.567623
343.432618,5,6.573623
343.432918,5,6.579623
-20656.569651,5,6.58613
9852.41606,4,6.591134
343.43106,5,6.598131
-5539.856436,3,6.602131
-5557.989231,3,6.605131
9460.145638,3,6.60922
-5588.849774,4,6.614528
9920.14096,3,6.618528
9392.419443,4,6.624668
9852.425874,4,6.633681
-5539.85697,3,6.638682
343.429831,5,6.646392
343.43033,5,6.652392
411.159085,4,6.657392
-5625.723179,4,6.66449
343.426649,5,6.671493
-5079.857768,3,6.676493
411.15101,4,6.681998
343.444916,5,6.687998
392.422915,4,6.695033
-5625.720909,4,6.70025
-5588.84988,4,6.705252
9343.422633,5,6.711762
343.451336,5,6.718365
-5147.57093,4,6.723726
9920.142076,3,6.72803
-5539.85776,3,6.733276
-5079.854539,3,6.739285
852.436892,4,6.74562
9343.415373,5,6.751617
-5656.579849,5,6.758883
-5116.724202,3,6.762883
392.426301,4,6.768257
-5607.575524,4,6.775254
-5607.580957,4,6.780756
-20147.577904,4,6.787759
9901.410697,3,6.791759
-5147.581214,4,6.798759
-5576.724578,3,6.802966
-5588.856433,4,6.809199
-5539.855466,3,6.813198
9343.420487,5,6.820204
-5656.581674,5,6.828755
-5656.574263,5,6.836783
-5656.579006,5,6.849189
-5079.854848,3,6.8536
374.301495,4,6.859613
343.437661,5,6.867615
-5625.726597,4,6.873615
-5147.581088,4,6.879908
-5147.585124,4,6.884413
-5557.995859,3,6.888413
411.149699,4,6.894414
-5588.848463,4,6.900413
343.444993,5,6.908414
374.295421,4,6.913414
-5539.852765,3,6.917414
343.461414,5,6.924504
-5625.720399,4,6.929502
343.447429,5,6.935501
423.280892,3,6.939502
-5557.989441,3,6.944501
-20625.706373,4,6.9505
9392.424139,4,6.958916
-5576.727297,3,6.962915
411.154912,4,6.967924
-5576.728916,3,6.972533
9920.149384,3,6.976547
392.431844,4,6.98105
343.437603,5,6.988056
-5656.567774,5,6.994428
343.430646,5,7.00043
-5656.577211,5,7.006504
920.159933,3,7.011086
-5079.857259,3,7.015091
-20147.564218,4,7.020091
343.453591,5,7.026517
-5656.576076,5,7.032518
343.42687,5,7.038522
-5588.84995,4,7.043903
-5116.722937,3,7.046902
920.154422,3,7.050901
9343.416222,5,7.056901
883.321518,3,7.060903
-5625.721567,4,7.068904
-5588.854483,4,7.074907
-5079.854725,3,7.078904
-20656.56282,5,7.085416
9442.000518,3,7.088895
852.430784,4,7.094423
9852.415939,4,7.099857
-5079.852149,3,7.10436
343.42801,5,7.110488
-5656.571729,5,7.116488
-5147.58132,4,7.121488
-20656.565135,5,7.128908
-5625.71782,4,7.133908
9423.27417,3,7.136908
-20116.720588,3,7.14099
343.446925,5,7.148987
-5098.587041,3,7.153987
411.158383,4,7.159988
343.435847,5,7.16799
-5116.71834,3,7.17199
-5607.582937,4,7.17999
-20656.570971,5,7.186497
9343.434905,5,7.193497
343.449806,5,7.201497
-5539.85027,3,7.205497
343.433138,5,7.213165
883.287825,3,7.217169
-20656.561557,5,7.223164
-5539.84781,3,7.227633
-5539.853243,3,7.231633
-5576.727961,3,7.235633
374.28114,4,7.240633
-5588.849548,4,7.245633
-5098.586511,3,7.249634
9343.42155,5,7.255633
343.476061,5,7.26279
-5625.713847,4,7.267794
-5116.725861,3,7.271793
-5625.725133,4,7.276793
-5079.858097,3,7.279793
852.422543,4,7.289299
9343.415067,5,7.2953
-5588.848857,4,7.300564
343.434142,5,7.307014
852.420578,4,7.312109
920.148553,3,7.31611
9343.429629,5,7.322109
-5098.586515,3,7.32636
343.424976,5,7.332359
9920.141985,3,7.336359
-20625.715109,4,7.34136
-20656.568521,5,7.347359
-5079.858064,3,7.351358
-5079.858505,3,7.355358
-5656.581024,5,7.362781
852.42645,4,7.368785
343.46194,5,7.374922
-5539.858055,3,7.379056
343.422893,5,7.384564
-5116.723706,3,7.388564
-5116.726908,3,7.395719
343.439054,5,7.401719
-5557.995498,3,7.405719
-5656.581484,5,7.411997
9460.143095,3,7.416358
411.155291,4,7.421377
-5607.584971,4,7.426538
343.434048,5,7.433538
9901.411096,3,7.436538
-5539.856258,3,7.440562
-5588.856616,4,7.446057
343.453279,5,7.452057
374.284269,4,7.457625
-20625.71236,4,7.462621
-5656.5778,5,7.468625
-5625.720594,4,7.473384
-5098.587753,3,7.478921
-5079.854878,3,7.482441
9883.271249,3,7.486611
-5588.84938,4,7.49307
-20656.566599,5,7.500069
-5098.584101,3,7.507507
343.433724,5,7.514506
343.43369,5,7.521506
-20539.846677,3,7.526506
920.154544,3,7.530506
343.49713,5,7.537506
-5079.857901,3,7.542052
-5588.844168,4,7.547079
9374.277361,4,7.553079
343.451751,5,7.56108
442.014834,3,7.566076
343.419886,5,7.572079
901.420956,3,7.577079
-5557.997611,3,7.580079
-5576.722076,3,7.584586
392.425171,4,7.589586
-5539.851019,3,7.594586
-5656.57702,5,7.600843
-20079.844278,3,7.604843
-5656.575879,5,7.614354
-5656.571862,5,7.620354
-5116.724219,3,7.624361
411.161348,4,7.62989
-5147.587162,4,7.634899
-5625.724037,4,7.641073
9411.148439,4,7.646122
9920.149771,3,7.650121
-20607.565351,4,7.655122
343.437682,5,7.662129
-5557.99476,3,7.666127
-5607.579433,4,7.671138
-5656.57881,5,7.678138
343.433448,5,7.684659
-5656.577194,5,7.691817
-5588.848655,4,7.698858
343.427293,5,7.705999
-5656.574239,5,7.713998
-5116.72045,3,7.720999
-5656.576157,5,7.728085
343.443,5,7.734084
-5079.851019,3,7.739492
852.426762,4,7.746977
9883.273654,3,7.752095
-5656.56672,5,7.759459
460.150844,3,7.763468
-5656.571575,5,7.770475
852.422404,4,7.775475
-5625.721408,4,7.780475
9460.143036,3,7.78499
-5557.992278,3,7.787989
9901.419371,3,7.793109
9852.417202,4,7.798111
-5656.583889,5,7.804109
-5557.99889,3,7.808565
-5079.857102,3,7.812576
852.427485,4,7.817724
-5116.725291,3,7.821725
9883.272471,3,7.825723
343.430839,5,7.834864
-5098.587836,3,7.838864
343.434078,5,7.845301
343.45887,5,7.851659
-5116.728486,3,7.855679
-5147.58514,4,7.860524
-5557.997125,3,7.864523
9442.00339,3,7.868528
883.282861,3,7.871928
-5576.725647,3,7.876959
9343.424079,5,7.884478
-5539.857312,3,7.889478
-5098.585767,3,7.893619
-5557.993424,3,7.897619
343.436983,5,7.903621
-5539.85445,3,7.90818
-20557.91975,3,7.91219
343.434118,5,7.91819
-5576.726339,3,7.922191
343.434313,5,7.929292
9460.141379,3,7.933293
-5098.587291,3,7.939445
9920.14958,3,7.943863
-20656.5718,5,7.949862
-5576.724831,3,7.953863
-5656.583798,5,7.960898
-5625.722289,4,7.965902
-5588.850272,4,7.971022
343.435431,5,7.977829
-5539.847255,3,7.981333
-5576.724869,3,7.985546
-5098.589728,3,7.989543
9423.277538,3,7.993649
852.43384,4,7.998649
343.442008,5,8.004649
-5656.57987,5,8.011755
-5625.724744,4,8.016755
343.439085,5,8.023755
-5588.853002,4,8.029177
-5098.589067,3,8.033177
392.422229,4,8.038177
-20588.845468,4,8.043176
-5656.573229,5,8.052177
-5147.58132,4,8.057177
-5079.854748,3,8.061177
343.448024,5,8.068179
-5539.857033,3,8.07218
343.445457,5,8.07818
-5098.586158,3,8.081681
343.45328,5,8.088685
374.28085,4,8.093685
-5656.580807,5,8.099685
-5607.579362,4,8.104685
-5588.85361,4,8.110687
-5539.854817,3,8.114685
343.429414,5,8.120685
-5656.575928,5,8.127685
423.27831,3,8.131685
-5098.587696,3,8.135684
423.279538,3,8.138685
-5539.85646,3,8.143685
9343.428255,5,8.149685
-5588.852794,4,8.154685
9392.421382,4,8.162685
-5147.586709,4,8.167688
-5656.572843,5,8.17469
-5607.581361,4,8.179688
343.425292,5,8.186194
343.428164,5,8.193195
343.427217,5,8.199195
343.428448,5,8.206195
9343.412295,5,8.212194
392.42658,4,8.217194
-5079.858277,3,8.221194
-5079.85246,3,8.225286
-5147.585515,4,8.230285
-20147.573238,4,8.235285
-20656.568042,5,8.241853
-5079.857238,3,8.245852
-5576.724328,3,8.249852
-5098.588842,3,8.253853
9442.003833,3,8.257854
-5079.853071,3,8.262851
343.433491,5,8.272854
343.444453,5,8.279854
343.433397,5,8.286361
-5079.853067,3,8.290768
-5539.856934,3,8.294777
-5079.856158,3,8.298772
-5116.723185,3,8.303293
343.438952,5,8.309684
-5607.581673,4,8.314683
-5557.996321,3,8.318682
883.290537,3,8.322682
411.155731,4,8.327682
-5607.579797,4,8.332682
374.286937,4,8.337682
-5557.995093,3,8.341685
-5588.847416,4,8.347682
-5588.853612,4,8.352685
374.281826,4,8.357683
9343.420885,5,8.364683
-5557.995792,3,8.368687
920.151063,3,8.372687
-5557.996704,3,8.378452
392.423706,4,8.38396
-5576.720176,3,8.387959
-20656.563308,5,8.395962
9901.413017,3,8.400962
343.429093,5,8.407959
-5539.855393,3,8.414515
-5557.998007,3,8.419514
-5625.719185,4,8.424757
-5539.85325,3,8.429844
343.424073,5,8.437175
-5116.723512,3,8.441381
-5607.586109,4,8.446381
-20656.565239,5,8.453378
-5116.724763,3,8.458869
-5588.851078,4,8.464167
411.166319,4,8.469184
374.289097,4,8.475836
343.426077,5,8.482576
343.430118,5,8.491566
-5656.574203,5,8.497574
392.424401,4,8.502811
-5607.584016,4,8.508979
-20656.55391,5,8.515675
-20656.564205,5,8.523396
-5656.581223,5,8.531868
-5656.582038,5,8.539865
883.279226,3,8.544987
-5116.722349,3,8.549988
-5557.990278,3,8.553986
343.428197,5,8.560986
-5147.584487,4,8.565987
-20116.712628,3,8.56999
343.432645,5,8.57599
392.427362,4,8.581492
-20625.716301,4,8.586495
343.430804,5,8.592496
-5079.857009,3,8.596495
343.435927,5,8.605495
-5656.570343,5,8.611495
343.431369,5,8.619496
-20656.559765,5,8.626605
-5147.585949,4,8.632604
9411.148717,4,8.638604
343.454807,5,8.645604
-5588.848136,4,8.651603
-5656.583463,5,8.657606
901.424462,3,8.661604
442.018676,3,8.665607
-5539.85679,3,8.669607
-5656.576165,5,8.676607
-5576.725941,3,8.680607
-5098.586791,3,8.684113
343.445908,5,8.691117
343.449285,5,8.699113
343.439174,5,8.707113
343.426608,5,8.717113
343.43413,5,8.724113
-20147.558851,4,8.730113
343.438661,5,8.738113
343.437692,5,8.746869
-5576.72159,3,8.752326
-5656.579938,5,8.760004
-5656.57552,5,8.767047
-5098.587289,3,8.770046
-5147.58045,4,8.776164
-5588.852973,4,8.780166
-5116.726288,3,8.784675
-5576.722779,3,8.788677
9343.423609,5,8.795811
-5147.578402,4,8.800811
9442.001731,3,8.805815
-5539.856364,3,8.809935
-5557.997436,3,8.814941
343.431023,5,8.823941
-5079.855825,3,8.828239
-5588.851714,4,8.833239
343.432749,5,8.839239
343.440518,5,8.846798
-5079.855868,3,8.85205
-5098.582535,3,8.857052
374.281243,4,8.863209
343.42604,5,8.871214
-5656.571786,5,8.879371
-5576.726904,3,8.883879
-5116.728443,3,8.888879
-5079.852654,3,8.893357
-20079.849677,3,8.898357
411.154018,4,8.903357
9411.156326,4,8.908535
9343.422666,5,8.915652
343.440309,5,8.921652
852.427108,4,8.929772
-5098.584452,3,8.933772
-5576.727225,3,8.937773
343.445819,5,8.944882
343.430697,5,8.951881
9392.415331,4,8.957405
-5539.856869,3,8.971818
374.28978,4,8.978054
-20147.573193,4,8.984564
9343.419265,5,8.992563
852.429618,4,8.997563
343.447134,5,9.003563
343.435537,5,9.010563
343.421945,5,9.016563
343.432029,5,9.023564
-5539.85114,3,9.027563
343.433801,5,9.033563
-5607.585223,4,9.041565
-20625.685968,4,9.046563
-5607.582069,4,9.051563
343.443957,5,9.058563
-5656.57138,5,9.065563
-5557.995234,3,9.069667
9343.423643,5,9.075803
-5656.571337,5,9.082303
-5625.720349,4,9.087308
852.424157,4,9.093414
9852.416918,4,9.098414
-5079.856406,3,9.102414
-5607.582056,4,9.107514
-5079.858561,3,9.111511
-20656.560271,5,9.117512
920.168185,3,9.121512
-5625.717162,4,9.126632
-5557.996286,3,9.130632
-5116.725652,3,9.134792
920.160193,3,9.138792
343.431768,5,9.1449
-5576.72588,3,9.151899
-5588.852877,4,9.156899
-5656.575142,5,9.163899
-5576.72602,3,9.168902
9460.149631,3,9.172902
-5557.996651,3,9.177902
-20538.982463,3,9.182405
-5576.724797,3,9.186408
343.461145,5,9.193806
-5607.582726,4,9.198805
-5607.580859,4,9.204805
-5625.722034,4,9.210231
343.4898,5,9.216231
883.282853,3,9.220231
-5656.576669,5,9.227531
343.442419,5,9.234545
-5576.727366,3,9.237545
852.428211,4,9.243491
9920.143338,3,9.247491
-5656.574783,5,9.253491
374.286285,4,9.262495
-5656.57785,5,11.416651
343.432168,5,11.42565
-5656.569385,5,11.433649
-5116.722548,3,11.437649
-20656.571454,5,11.448772
883.282975,3,11.454002
343.427134,5,11.462172
9374.278395,4,11.469174
-5079.854984,3,11.47336
-5147.581161,4,11.48046
-5607.586175,4,11.487967
9392.42208,4,11.493965
-5656.579878,5,11.502968
343.439761,5,11.510933
-5539.856231,3,11.515946
-5576.727012,3,11.520945
343.436548,5,11.528962
9460.142287,3,11.534068
852.433999,4,11.540067
374.286482,4,11.546067
343.456326,5,11.556067
-5656.58057,5,11.564068
852.441157,4,11.570418
-5625.721575,4,11.576418
-5079.84919,3,11.582418
-5557.99646,3,11.586925
